axis,scope,n_ess,n_non,raw_delta,raw_p,matched_delta,matched_p,n_strata
Hart_vs_rest,pooled,124,10158,0.257,8.134453875233228e-07,-0.174,7.772566386477388e-06,10.0
CEGv2_vs_rest,pooled,377,9905,0.291,6.88433984772026e-22,-0.192,1.3799853478454629e-14,8.0
Hart_vs_rest,Rest,124,10158,0.311,2.6307611770547697e-09,-0.043,0.015552986268650218,10.0
CEGv2_vs_rest,Rest,377,9905,0.298,6.752467800240201e-23,-0.112,2.7031360979797902e-08,8.0
Hart_vs_rest,Stim8hr,124,10158,0.12,0.020989641594302503,-0.344,1.889118512206038e-12,10.0
CEGv2_vs_rest,Stim8hr,377,9905,0.191,3.191569119095582e-10,-0.289,2.4606731009119e-22,8.0
Hart_vs_rest,Stim48hr,124,10158,0.281,6.986334552428179e-08,-0.102,0.0015145287509366365,10.0
CEGv2_vs_rest,Stim48hr,377,9905,0.308,2.8660950224859407e-24,-0.132,8.578174894761446e-09,8.0
shet_continuous,pooled,10166,0,0.175,2.501216359973426e-70,-0.091,3.3622413264981686e-20,
shet_continuous,Rest,10166,0,0.164,3.777447631363379e-62,-0.083,4.2275516935476844e-17,
shet_continuous,Stim8hr,10166,0,0.159,1.7617119477344396e-58,-0.082,1.7459238052763485e-16,
shet_continuous,Stim48hr,10166,0,0.171,6.1788167959046504e-68,-0.096,2.604104076532153e-22,
