gene,name,outdeg_Rest,outdeg_Stim8hr,outdeg_Stim48hr,indeg_Rest,indeg_Stim8hr,indeg_Stim48hr,hub_status,is_disease_gene,is_disease_candidate,role
ACLY,ACLY,12,1320,2431,60,56,100,gained,False,False,broadcaster
AHR,AHR,2789,1776,1821,79,103,87,lost,False,False,broadcaster
ARNT,ARNT,2319,2642,2946,58,89,69,stable,False,False,broadcaster
ATAD5,ATAD5,3790,3596,3474,130,106,66,stable,False,False,broadcaster
ATP2A2,ATP2A2,3518,3259,1565,160,114,149,lost,False,False,broadcaster
BCAT2,BCAT2,8,3677,304,55,73,54,peripheral,False,False,broadcaster
BCL10,BCL10,0,3455,2979,39,71,41,gained,False,False,broadcaster
BRD8,BRD8,1902,3692,826,29,43,48,peripheral,False,False,broadcaster
CARMIL2,CARMIL2,85,2544,1917,77,128,58,gained,False,False,broadcaster
CCNC,CCNC,2730,2270,4090,92,102,227,stable,False,False,broadcaster
CD247,CD247,4,4329,827,90,96,81,peripheral,False,False,broadcaster
CD3D,CD3D,6,4983,1432,194,210,216,peripheral,False,False,broadcaster
CD3E,CD3E,3,5710,1585,164,218,314,peripheral,False,False,broadcaster
CD3G,CD3G,4,4965,1373,114,170,122,peripheral,False,False,broadcaster
CPSF6,CPSF6,2157,2486,1389,35,58,63,lost,False,False,broadcaster
CREBBP,CREBBP,1561,2968,1956,68,69,50,gained,False,False,broadcaster
DENR,DENR,1896,3636,1482,59,79,83,peripheral,False,False,broadcaster
DHX36,DHX36,2326,1808,2298,47,81,44,stable,False,False,broadcaster
DNTTIP1,DNTTIP1,236,2724,1903,43,46,39,gained,False,False,broadcaster
DOP1B,DOP1B,988,610,3240,53,53,17,gained,False,False,broadcaster
EIF4G2,EIF4G2,2013,2529,1829,47,26,49,gained,False,False,broadcaster
ELAVL1,ELAVL1,2163,2169,2007,148,130,82,stable,False,False,broadcaster
ELOB,ELOB,1490,3051,2339,71,90,73,gained,False,False,broadcaster
ELOF1,ELOF1,3299,4212,4257,51,39,55,stable,False,False,broadcaster
EWSR1,EWSR1,2451,1789,1777,52,76,99,lost,False,False,broadcaster
GRSF1,GRSF1,1,21,1848,41,108,72,gained,False,False,broadcaster
IL12RB2,IL12RB2,229,750,159,67,160,90,peripheral,True,True,broadcaster
INTS10,INTS10,714,1453,2075,42,69,68,gained,False,False,broadcaster
ITK,ITK,1,3392,2565,171,216,248,gained,True,True,broadcaster
KDM1A,KDM1A,2017,2300,2912,68,94,59,gained,False,False,broadcaster
LAMTOR2,LAMTOR2,404,592,2062,94,112,75,gained,False,False,broadcaster
LAT,LAT,3,5535,3186,123,170,112,gained,False,False,broadcaster
LCK,LCK,308,2413,915,96,134,111,peripheral,True,True,broadcaster
LCP2,LCP2,1,4981,1535,85,141,126,peripheral,False,False,broadcaster
LEO1,LEO1,3014,2663,1790,35,50,85,lost,False,False,broadcaster
LRPPRC,LRPPRC,771,770,1925,124,153,153,gained,False,False,broadcaster
MED12,MED12,2842,4141,2045,64,103,126,stable,False,False,broadcaster
MED15,MED15,2806,2050,1340,114,84,54,lost,False,False,broadcaster
MED19,MED19,2011,3868,1269,9,17,17,peripheral,False,False,broadcaster
MEN1,MEN1,603,1315,2156,19,26,13,gained,False,False,broadcaster
MIPEP,MIPEP,151,413,2143,24,39,35,gained,False,False,broadcaster
MTG1,MTG1,9,7,1893,28,95,28,gained,False,False,broadcaster
NCKAP1L,NCKAP1L,2946,1358,589,81,142,99,lost,False,False,broadcaster
NCOR1,NCOR1,1698,1923,2006,55,100,87,gained,False,False,broadcaster
NDUFAF3,NDUFAF3,5,2,1922,87,118,119,gained,False,False,broadcaster
NFRKB,NFRKB,3019,2891,2519,38,36,18,stable,False,False,broadcaster
NPC2,NPC2,85,439,2419,149,203,147,gained,False,False,broadcaster
NSD1,NSD1,1766,1993,2174,52,73,52,gained,False,False,broadcaster
NUDCD1,NUDCD1,310,1218,2135,69,89,146,gained,False,False,broadcaster
PLCG1,PLCG1,2,5032,2217,216,132,243,gained,False,False,broadcaster
PMVK,PMVK,209,87,3527,90,102,103,gained,False,False,broadcaster
PTEN,PTEN,2928,1638,462,89,134,81,lost,False,False,broadcaster
PTPRC,PTPRC,54,2254,3225,103,136,183,gained,True,True,broadcaster
RPRD2,RPRD2,1507,1822,2754,45,62,37,gained,False,False,broadcaster
SENP5,SENP5,3328,5171,2797,42,40,33,stable,False,False,broadcaster
SETDB1,SETDB1,2290,1308,1183,33,37,18,lost,False,False,broadcaster
SGF29,SGF29,3446,4047,4868,55,63,20,stable,False,False,broadcaster
SKIC8,SKIC8,904,1534,2399,38,45,71,gained,False,False,broadcaster
SMARCA5,SMARCA5,2785,1995,135,61,34,66,lost,False,False,broadcaster
SMARCB1,SMARCB1,2129,1920,1036,67,79,85,lost,False,False,broadcaster
SMARCE1,SMARCE1,2379,3266,1585,45,71,64,lost,False,False,broadcaster
SUPT20H,SUPT20H,3071,3947,3311,27,51,37,stable,False,False,broadcaster
SUPT7L,SUPT7L,2928,4330,3644,29,52,17,stable,False,False,broadcaster
TADA1,TADA1,2943,3648,3113,21,23,15,stable,False,False,broadcaster
TADA2B,TADA2B,4680,5919,5259,86,98,52,stable,False,False,broadcaster
TAF13,TAF13,2189,3341,2099,50,132,94,stable,False,False,broadcaster
TAF6L,TAF6L,3367,4638,3485,19,19,15,stable,False,False,broadcaster
TFAM,TFAM,340,817,2960,78,107,101,gained,False,False,broadcaster
TMX1,TMX1,0,2346,1959,93,90,86,gained,False,False,broadcaster
UBXN1,UBXN1,4439,3443,539,61,57,54,lost,False,False,broadcaster
USP22,USP22,1782,2380,1848,60,47,50,gained,False,False,broadcaster
VAV1,VAV1,69,4897,3574,60,91,57,gained,False,False,broadcaster
YTHDF2,YTHDF2,901,1483,2617,39,55,53,gained,False,False,broadcaster
ZAP70,ZAP70,82,5021,2485,83,118,111,gained,True,True,broadcaster
ZMYM2,ZMYM2,2177,304,174,136,108,126,lost,False,False,broadcaster
